city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Pacific Grove,36.6177,-121.9166,295.7,65,1,4.02,US,1633988580
Carrizal,10.3499,-66.9863,297.82,92,98,0.41,VE,1633988580
Jacksonville,30.3322,-81.6556,301.15,73,20,0.89,US,1633988468
Rundu,-17.9333,19.7667,297.46,32,0,4.36,NA,1633988581
Canberra,-35.2835,149.1281,283.3,78,90,0.89,AU,1633988429
Alofi,-19.0595,-169.9187,298.09,73,40,5.14,NU,1633988581
Newport,51.5877,-2.9984,285.21,89,41,1.86,GB,1633988535
Kendari,-3.945,122.4989,297.36,95,100,1.54,ID,1633988582
Matagami,49.7502,-77.6328,290.21,100,90,6.69,CA,1633988582
Guhāgar,17.4842,73.1929,298.32,91,100,1.41,IN,1633988583
Tautira,-17.7333,-149.15,302.16,79,39,6.51,PF,1633988583
Andenes,69.3143,16.1194,280.14,76,75,8.75,NO,1633988583
Lokosovo,61.1333,74.8167,271.12,64,100,2.73,RU,1633988584
Iturama,-19.7281,-50.1956,297.82,74,82,2.91,BR,1633988584
Faya,18.3851,42.4509,291.21,23,99,3.85,SA,1633988584
Grindavik,63.8424,-22.4338,279.41,87,75,3.6,IS,1633988559
Starodub,52.5844,32.7633,279.02,68,100,2.77,RU,1633988585
Ketchikan,55.3422,-131.6461,282.14,93,90,7.72,US,1633988585
Verrettes,19.05,-72.4667,303.92,79,58,2.19,HT,1633988585
Camaná,-16.6228,-72.7111,290.3,85,77,2.84,PE,1633988586
Mpulungu,-8.7623,31.1141,298.97,48,93,6.59,ZM,1633988586
Hermiston,45.8404,-119.2895,290.17,30,1,5.14,US,1633988586
Caçu,-18.5567,-51.1308,298.23,79,73,1.32,BR,1633988587
Gīdolē,5.65,37.3667,288.31,77,92,1.84,ET,1633988587
Mersing,2.4312,103.8405,297.1,94,100,2.57,MY,1633988587
Sittwe,20.15,92.9,300.44,88,100,3.04,MM,1633988588
Rome,43.2128,-75.4557,296.98,67,1,4.12,US,1633988588
Paragominas,-2.9667,-47.4833,301.62,48,48,1.87,BR,1633988378
Matara,5.9485,80.5353,299.13,87,93,6.07,LK,1633988589
Oktyabr'skiy,54.4815,53.471,279.69,79,100,2.46,RU,1633988589
Naze,28.3667,129.4833,298.27,86,99,7.59,JP,1633988587
Laas,46.6166,10.7002,283.64,68,100,2.76,IT,1633988589
Sibolga,1.7427,98.7792,297.22,85,100,1.29,ID,1633988590
Guasdualito,7.2424,-70.7324,297.82,94,100,1.07,VE,1633988590
Quatre Cocos,-20.2078,57.7625,296.53,84,88,2.71,MU,1633988591
Henties Bay,-22.116,14.2845,289.8,72,0,4.24,NA,1633988591
Vostok,46.4856,135.8833,275.01,76,0,1.3,RU,1633988591
Bilibino,68.0546,166.4372,253.9,97,36,1.45,RU,1633988592
Umm Kaddadah,13.6017,26.6876,305.92,36,67,5.79,SD,1633988592
Bereda,43.2686,-7.5406,287.55,100,57,1.36,ES,1633988592
Huarmey,-10.0681,-78.1522,292.38,79,31,5.59,PE,1633988593
Fort Nelson,58.8053,-122.7002,281.92,43,40,2.06,CA,1633988593
Monrovia,6.3005,-10.7969,298.02,82,99,2.83,LR,1633988593
Manicoré,-5.8092,-61.3003,302.95,56,90,1.57,BR,1633988594
Qasigiannguit,68.8193,-51.1922,270.29,82,100,1.55,GL,1633988594
San Severino Marche,43.2281,13.1802,287.17,91,93,2.04,IT,1633988595
Navahrudak,53.6,25.8333,278.5,68,100,2.82,BY,1633988595
Batagay-Alyta,67.8006,130.4114,266.98,92,100,0.96,RU,1633988595
Hagenow,53.4333,11.1833,282.16,80,64,4.4,DE,1633988596
Nauta,-4.5061,-73.5757,301.77,71,95,1.22,PE,1633988596
Eslöv,55.8393,13.3039,283.83,87,84,6.52,SE,1633988597
Kuril'sk,45.2333,147.8833,284.39,72,33,5.28,RU,1633988597
Nova Venécia,-18.7106,-40.4006,293.18,97,100,2.39,BR,1633988597
Naples,40.8333,14.25,289.18,72,0,1.34,IT,1633988595
Baykit,61.67,96.37,265.92,88,28,1.2,RU,1633988598
Price,39.5994,-110.8107,287.1,40,90,3.09,US,1633988304
Tamandaré,-8.7597,-35.1047,298.03,82,23,4.27,BR,1633988598
Nabire,-3.3667,135.4833,299.08,84,89,0.84,ID,1633988598
São João da Barra,-21.6403,-41.0511,293.2,85,100,7.02,BR,1633988599
Davila,18.4726,120.5763,298.14,85,100,14.17,PH,1633988599
Concordia,-31.393,-58.0209,297.19,60,40,4.12,AR,1633988459
El'brus,43.2577,42.6443,276.32,86,12,0.73,RU,1633988599
Xichang,27.8964,102.2634,289.5,89,62,0.69,CN,1633988600
Vila Velha,-20.3297,-40.2925,293.57,90,100,8.45,BR,1633988600
Shizuishan,39.2333,106.7694,281.83,70,66,6.05,CN,1633988601
Coyhaique,-45.5752,-72.0662,286.49,44,75,2.57,CL,1633988601
Marabu,4.4148,114.0089,298.23,94,40,2.06,MY,1633988601
Teahupoo,-17.8333,-149.2667,299.13,79,42,6.76,PF,1633988602
Brae,60.3964,-1.353,281.1,71,88,7.38,GB,1633988602
Uyemskiy,64.4743,40.8524,282.18,81,75,2.0,RU,1633988602
Gizo Government Station,-8.103,156.8419,300.9,76,84,1.68,SB,1633988603
Panabá,21.2833,-88.2667,304.49,57,10,6.78,MX,1633988603
Nikolayevsk-on-Amur,53.1406,140.73,274.53,92,5,2.18,RU,1633988603
Exeter,50.7236,-3.5275,285.22,93,0,0.45,GB,1633988464
Torbay,47.6666,-52.7314,284.42,92,90,2.06,CA,1633988604
Uyovu,-3.2833,31.5258,296.15,57,76,0.72,TZ,1633988604
Taltal,-25.4,-70.4833,290.91,68,43,2.91,CL,1633988605
Vila do Maio,15.1333,-23.2167,299.59,77,24,7.02,CV,1633988605
Marrakesh,31.6315,-8.0083,294.19,64,40,3.6,MA,1633988487
Władysławowo,54.7909,18.4009,282.56,87,15,7.01,PL,1633988605
Belaya Gora,68.5333,146.4167,266.13,79,100,1.28,RU,1633988606
Amga,60.8953,131.9608,271.15,94,100,0.92,RU,1633988606
Perth,-31.9333,115.8333,282.25,93,75,0.0,AU,1633988427
Huéscar,37.811,-2.5412,288.85,85,99,2.5,ES,1633988606
Posadas,-27.3671,-55.8961,301.14,61,20,3.09,AR,1633988607
Tabou,4.423,-7.3528,298.5,88,94,2.72,CI,1633988607
Kirakira,-10.4544,161.9205,301.37,73,25,1.76,SB,1633988607
Snezhnogorsk,69.1933,33.2531,280.03,84,100,8.09,RU,1633988608
Clearwater,27.9659,-82.8001,304.34,66,1,2.24,US,1633988608
Jericó,5.7921,-75.786,294.1,82,69,0.52,CO,1633988609
Oddur,4.1213,43.8894,296.14,78,94,5.56,SO,1633988609
Mahon,39.8885,4.2658,288.46,63,0,4.63,ES,1633988609
Vredendal,-31.6683,18.5012,292.55,40,100,1.88,ZA,1633988610
Duvan,55.695,57.9024,279.11,91,93,3.46,RU,1633988610
Luganville,-15.5333,167.1667,300.38,77,40,4.72,VU,1633988610
South Charleston,38.3684,-81.6996,300.6,60,40,2.57,US,1633988611
Jalu,29.0331,21.5482,298.13,27,0,2.37,LY,1633988567
Ta Khmau,11.4833,104.95,300.18,83,40,3.6,KH,1633988611
Trofors,65.5333,13.4063,280.79,96,100,2.07,NO,1633988611
Borba,-4.3878,-59.5939,303.7,53,69,1.36,BR,1633988612
Chimbote,-9.0853,-78.5783,292.22,80,20,5.83,PE,1633988612
São Miguel do Araguaia,-13.275,-50.1628,301.03,58,96,1.62,BR,1633988612
Kavaratti,10.5669,72.642,300.62,82,100,9.93,IN,1633988613
Nuuk,64.1835,-51.7216,276.49,70,20,4.63,GL,1633988613
Turbat,26.0023,63.044,297.99,9,0,8.61,PK,1633988517
Mondlo,-27.983,30.7177,286.23,46,38,2.2,ZA,1633988613
Pangoa,-12.1167,-73.0,299.16,78,90,0.9,PE,1633988614
Antofagasta,-23.65,-70.4,288.75,75,21,4.19,CL,1633988614
Mount Gambier,-37.8333,140.7667,278.1,87,56,3.09,AU,1633988614
Weston,26.1004,-80.3998,303.18,67,1,1.54,US,1633988477
Nouadhibou,20.931,-17.0347,293.14,88,0,6.69,MR,1633988615
Tiznit Province,29.5833,-9.5,290.61,85,40,1.23,MA,1633988615
Palmer,42.1584,-72.3287,293.8,69,79,1.95,US,1633988615
West Lafayette,40.4259,-86.9081,300.33,76,90,13.89,US,1633988388
Bethel,41.3712,-73.414,294.26,80,59,1.88,US,1633988616
Ruska Poliana,49.417,31.9201,281.43,59,100,1.29,UA,1633988616
Nyurba,63.2842,118.3319,268.87,63,99,5.9,RU,1633988617
Urengoy,65.9667,78.3667,270.17,88,100,1.42,RU,1633988617
Mount Isa,-20.7333,139.5,293.02,83,90,3.6,AU,1633988617
Hualmay,-11.0964,-77.6139,291.63,80,60,5.41,PE,1633988617
Visby,57.6409,18.296,284.27,76,20,5.14,SE,1633988618
La Tuque,47.4334,-72.7824,292.29,72,100,2.57,CA,1633988618
Reykjavik,64.1355,-21.8954,279.25,82,0,2.57,IS,1633988619
Novikovo,51.1537,37.8879,279.15,62,1,2.29,RU,1633988619
Pringsewu,-5.3582,104.9744,297.11,94,99,2.15,ID,1633988620
Marsh Harbour,26.5412,-77.0636,301.11,66,100,3.23,BS,1633988568
Cascais,38.6979,-9.4215,297.88,45,1,1.79,PT,1633988620
Zhigansk,66.7697,123.3711,267.59,93,100,5.95,RU,1633988620
San Nicolas,18.1725,120.5953,298.1,94,90,11.83,PH,1633988621
Vrangel',42.7297,133.0839,282.82,64,0,2.96,RU,1633988621
Millinocket,45.6573,-68.7098,293.16,73,1,1.54,US,1633988621
Comodoro Rivadavia,-45.8667,-67.5,295.07,21,0,8.75,AR,1633988622
Hachiōji,35.6558,139.3239,295.17,85,90,2.06,JP,1633988622
Ola,59.5833,151.2833,272.64,53,98,1.9,RU,1633988623
Nacala,-14.5428,40.6728,296.53,82,23,5.16,MZ,1633988623
Sokoto,13.0609,5.239,303.22,29,79,2.47,NG,1633988623
Serowe,-22.3833,26.7167,287.45,56,0,3.34,BW,1633988624
Ahipara,-35.1667,173.1667,286.26,83,100,6.3,NZ,1633988624
Fereydūnkenār,36.6864,52.5225,290.27,60,0,1.6,IR,1633988624
Chardara,41.2547,67.9692,284.11,37,0,2.48,KZ,1633988624
Weihe,32.9952,105.3247,281.97,97,100,1.3,CN,1633988625
Soldotna,60.4878,-151.0583,281.46,72,90,4.12,US,1633988360
Haukipudas,65.1765,25.3523,281.01,95,100,2.71,FI,1633988393
Egvekinot,66.3167,-179.1667,265.12,87,43,2.28,RU,1633988349
Isabela,6.7085,121.9711,297.18,85,85,1.93,PH,1633988625
Trairi,-3.2778,-39.2689,299.44,76,38,5.31,BR,1633988453
Saryg-Sep,51.5,95.6,275.36,67,100,0.86,RU,1633988626
Kiunga,-6.1219,141.2906,297.35,94,84,0.3,PG,1633988626
Kousséri,12.0769,15.0306,301.13,36,18,1.03,CM,1633988627
Kupang,-10.1667,123.5833,298.35,80,71,1.75,ID,1633988627
Westport,41.1415,-73.3579,295.4,69,75,1.79,US,1633988585
Norman Wells,65.282,-126.8329,274.17,75,75,5.66,CA,1633988627
Nioaque,-21.1353,-55.83,298.63,70,99,1.69,BR,1633988628
Bathsheba,13.2167,-59.5167,303.49,70,20,4.63,BB,1633988628
Yulara,-25.2406,130.9889,283.06,93,0,2.57,AU,1633988628
Séguéla,7.9611,-6.6731,295.9,95,100,1.52,CI,1633988629
Omsukchan,62.5333,155.8,262.81,96,89,2.19,RU,1633988629
Karakol,42.4907,78.3936,273.58,73,100,1.47,KG,1633988629
Rocha,-34.4833,-54.3333,288.52,97,100,5.49,UY,1633988527
Nueva Esparta,13.7836,-87.8386,305.78,80,30,1.74,SV,1633988630
Yangi Marg`ilon,40.4272,71.7189,279.83,45,0,0.81,UZ,1633988630
Lagoa,39.05,-27.9833,293.83,85,100,3.96,PT,1633988630
Camacha,33.0833,-16.3333,293.57,77,20,2.57,PT,1633988631
Cairns,-16.9167,145.7667,298.19,80,87,0.51,AU,1633988631
Chumikan,54.7183,135.315,277.26,60,38,9.13,RU,1633988631
Jalalpur Jattan,32.6374,74.2183,296.08,78,81,0.0,PK,1633988632
Coahuayana Viejo,18.7333,-103.6833,303.6,70,63,2.63,MX,1633988632
Topolovăţu Mare,45.7739,21.6189,282.49,94,100,1.51,RO,1633988633
Acapulco de Juárez,16.8634,-99.8901,303.05,20,1,2.06,MX,1633988633
Provideniya,64.3833,-173.3,273.21,80,75,3.0,RU,1633988551
Aloleng,16.1307,119.7824,299.21,91,100,15.43,PH,1633988633
Leninsk,48.7119,45.1994,279.07,47,1,3.21,RU,1633988634
Salihorsk,52.7876,27.5415,279.47,64,100,2.61,BY,1633988634
Aitape,-3.1374,142.3475,300.6,78,71,1.16,PG,1633988634
Waipawa,-41.4122,175.5153,286.73,59,15,8.48,NZ,1633988635
Sandpoint,48.2766,-116.5533,286.4,32,1,0.89,US,1633988635
Nome,64.5011,-165.4064,276.19,57,90,4.12,US,1633988636
Phon,15.816,102.5998,298.69,95,100,1.29,TH,1633988636
Liverpool,53.4106,-2.9779,285.2,85,0,0.89,GB,1633988505
Greytown,-29.0642,30.5928,286.21,49,8,1.15,ZA,1633988636
Archidona,37.0965,-4.3887,291.3,85,100,3.0,ES,1633988637
Santiago,-33.4569,-70.6483,298.84,31,0,4.12,CL,1633988475
Tessalit,20.1986,1.0114,303.18,10,16,4.25,ML,1633988637
Dicabisagan,17.0818,122.4157,300.03,79,100,9.45,PH,1633988637
Nogliki,51.8333,143.1667,277.87,79,2,6.41,RU,1633988638
Forsytheganj,52.6333,29.7333,279.17,70,100,2.53,BY,1633988638
Karasjok,69.4719,25.5112,277.21,97,100,6.53,NO,1633988638
São Domingos,-13.3983,-46.3183,301.41,42,69,1.14,BR,1633988639
High Level,58.5169,-117.136,279.21,70,75,3.09,CA,1633988639
Eyl,7.9803,49.8164,299.64,77,61,6.17,SO,1633988639
Bhīmunipatnam,17.8833,83.4333,299.06,77,75,2.1,IN,1633988640
Åmot,59.5714,7.9877,272.87,83,6,2.44,NO,1633988640
Teseney,15.11,36.6575,301.28,59,98,3.0,ER,1633988641
Canala,-21.5333,165.95,298.42,62,45,3.0,NC,1633988641
Krechevitsy,58.617,31.401,277.82,76,48,4.04,RU,1633988642
Meihekou,42.5272,125.6753,277.22,77,0,1.17,CN,1633988642
Lábrea,-7.2586,-64.7981,303.71,55,92,0.93,BR,1633988643
Aljezur,37.3191,-8.8033,291.9,74,0,1.6,PT,1633988643
Codrington,-38.2667,141.9667,280.96,76,20,5.23,AU,1633988643
Cockburn Town,21.4612,-71.1419,301.64,79,73,8.04,TC,1633988512
Ixtapa,20.7,-105.2,304.39,79,97,1.34,MX,1633988631
Viseu,40.661,-7.9097,290.87,54,61,2.51,PT,1633988644
Pandan,14.0453,124.1694,300.52,83,100,7.58,PH,1633988644
Ambon City,-3.6954,128.1814,297.23,94,20,2.06,ID,1633988645
Manokwari,-0.8667,134.0833,300.15,74,59,1.69,ID,1633988636
Muzhi,65.3667,64.6667,269.15,97,73,1.58,RU,1633988645
Baculin,7.4525,126.5842,300.05,74,100,2.82,PH,1633988645
