city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Jaca,42.569,-0.5499,279.26,55,0,1.82,ES,1633988484
Rantepao,-2.9701,119.8978,291.97,94,100,1.01,ID,1633988484
Thinadhoo,0.5333,72.9333,301.38,69,98,7.62,MV,1633988485
Lakes Entrance,-37.8811,147.981,282.13,66,7,4.85,AU,1633988485
La Santisima Trinidad,-14.8333,-64.9,302.14,70,90,5.14,BO,1633988485
Teleneşti,47.4997,28.3656,286.3,40,100,1.2,MD,1633988486
Kaitangata,-46.2817,169.8464,279.84,81,98,7.45,NZ,1633988486
Lorengau,-2.0226,147.2712,302.17,72,17,3.12,PG,1633988486
Mahébourg,-20.4081,57.7,296.62,94,40,2.06,MU,1633988487
Chekhov,55.1431,37.4711,280.9,73,99,2.2,RU,1633988487
Klaksvík,62.2266,-6.589,277.66,70,100,4.09,FO,1633988487
Charters Towers,-20.1,146.2667,296.95,56,21,3.2,AU,1633988488
Port Alfred,-33.5906,26.891,293.43,64,68,0.24,ZA,1633988488
Falmouth,50.1544,-5.0711,284.65,93,14,1.54,GB,1633988212
La Asuncion,11.0333,-63.8628,300.82,81,13,7.45,VE,1633988488
Fonte Boa,-2.4959,-66.2662,299.6,85,82,0.76,BR,1633988489
Saint-Joseph,-21.3667,55.6167,295.49,92,81,2.95,RE,1633988489
Ancud,-41.8697,-73.8203,288.89,80,100,2.97,CL,1633988489
Nanortalik,60.1432,-45.2371,277.23,55,100,0.33,GL,1633988490
Fortuna,40.5982,-124.1573,290.64,60,1,0.89,US,1633988490
Rizhao,35.4275,119.4553,284.92,65,96,4.1,CN,1633988490
East London,-33.0153,27.9116,293.94,55,63,1.98,ZA,1633988491
Gijang,35.2442,129.2139,292.0,83,100,8.63,KR,1633988491
St. George's,12.0564,-61.7485,302.97,79,20,6.69,GD,1633988491
Araouane,18.9048,-3.5265,306.69,11,87,2.7,ML,1633988492
Ostrovnoy,68.0531,39.5131,281.9,87,100,10.12,RU,1633988492
Abasolo,20.45,-101.5167,300.56,44,39,1.01,MX,1633988492
Wilmington,34.2257,-77.9447,295.36,79,98,2.62,US,1633988333
Muroto-misakicho,33.2833,134.15,294.17,80,96,2.25,JP,1633988493
Saskylakh,71.9167,114.0833,270.05,96,100,6.51,RU,1633988493
Talnakh,69.4865,88.3972,266.25,96,100,2.6,RU,1633988494
Kununurra,-15.7667,128.7333,298.14,94,75,0.51,AU,1633988494
São Filipe,14.8961,-24.4956,299.76,73,3,3.84,CV,1633988494
Bluff,-46.6,168.3333,280.84,61,97,8.68,NZ,1633988495
Tapa,59.2606,25.9586,280.87,63,77,4.8,EE,1633988495
Alta Floresta,-9.8756,-56.0861,298.94,77,70,0.78,BR,1633988495
Ust-Maya,60.4167,134.5333,270.38,90,91,1.6,RU,1633988496
Tasiilaq,65.6145,-37.6368,275.24,69,48,2.65,GL,1633988496
Maningrida,-12.0667,134.2667,300.86,72,93,1.36,AU,1633988496
Karratha,-20.7377,116.8463,295.19,44,0,2.64,AU,1633988496
Saint-Philippe,-21.3585,55.7679,296.05,90,82,1.88,RE,1633988497
Vila Franca do Campo,37.7167,-25.4333,294.38,89,100,4.93,PT,1633988497
Esperance,-33.8667,121.9,280.06,67,92,12.5,AU,1633988498
Biak,-0.9131,122.8766,297.97,86,92,1.42,ID,1633988498
Taoudenni,22.6783,-3.9836,307.66,9,58,4.16,ML,1633988498
Ngunguru,-35.6167,174.5,286.57,88,100,6.0,NZ,1633988498
Alyangula,-13.8483,136.4192,296.08,100,95,0.0,AU,1633988499
Yanahuanca,-10.5167,-76.4986,283.45,50,100,5.51,PE,1633988499
Manzanillo,20.3433,-77.1167,301.33,72,38,2.67,CU,1633988500
Bontoc,17.0899,120.978,293.48,94,100,2.86,PH,1633988500
Copiapó,-27.3667,-70.3333,286.98,32,71,2.7,CL,1633988500
Touros,-5.1989,-35.4608,300.65,78,100,6.24,BR,1633988501
Lungi,9.2212,-12.6831,297.04,94,100,0.98,SL,1633988501
